spr_end,Spring Hamlet,The First Farewell,0,"The Stacks conquered, Concord's path to the Summer Bar is within reach.",Meet Elderberry next to the Lily Path.,r_shellcove,,,Cross the Lily Path to the Summer Bar when you're ready.,r_shellcove,,,,,The First Farewell,"The Stacks conquered, Concord's path to the Summer Bar is within reach.",Meet Elderberry next to the Lily Path.,,,,,The First Farewell,"The Stacks conquered, Concord's path to the Summer Bar is within reach.",Meet Elderberry next to the Lily Path.,,,,,The First Farewell,"The Stacks conquered, Concord's path to the Summer Bar is within reach.",Meet Elderberry next to the Lily Path.,,,,,The First Farewell,"The Stacks conquered, Concord's path to the Summer Bar is within reach.",Meet Elderberry next to the Lily Path.,,,,,Portuguese - Title,Portuguese - Desc,Portuguese - Start Obj,Portuguese - Obj A,Portuguese - Obj B,Portuguese - Obj C,Portuguese - Final Obj,Korean - Title,Korean - Desc,Korean - Start Obj,Korean - Obj A,Korean - Obj B,Korean - Obj C,Korean - Final Obj,Spanish - Start Obj
,,,0,,,,,,,,,,,,,,,,Find a place to stay.,,,,,,,Find a place to stay.,,,,,,,Find a place to stay.,,,,,,,Find a place to stay.,,,,,,,,,,,,,,,,,
smr_start,Summer Bar,Beyond the Sea,0,"Elderberry implores you to find Fuji, the architect. They were last seen heading towards the Summer Bar.",Make your way to the Summer Bar.,r_lilylanding,Meet Fuji in Quiet Shore.,r_quietshore,Find a place to stay.,r_quietshore,,,,,Beyond the Sea,"Elderberry implores you to find Fuji, the architect. They were last seen heading towards the Summer Bar.",Make your way to the Summer Bar.,Meet Fuji in Quiet Shore.,Pull 10 items from the ocean.,,,Beyond the Sea,"Elderberry implores you to find Fuji, the architect. They were last seen heading towards the Summer Bar.",Make your way to the Summer Bar.,Meet Fuji in Quiet Shore.,Pull 10 items from the ocean.,,,Beyond the Sea,"Elderberry implores you to find Fuji, the architect. They were last seen heading towards the Summer Bar.",Make your way to the Summer Bar.,Meet Fuji in Quiet Shore.,Pull 10 items from the ocean.,,,Beyond the Sea,"Elderberry implores you to find Fuji, the architect. They were last seen heading towards the Summer Bar.",Make your way to the Summer Bar.,Meet Fuji in Quiet Shore.,Pull 10 items from the ocean.,,,,,,,,,,,,,,,,,
smr_town,Summer Bar,The Summer Way,0,"Fuji's healthy and active, but asks that you help Saguaro, the Caretaker of Vista Outpost.",Talk to Saguaro,r_vistaoutpost,Obtain a Dowsing Rod from Coqui.,r_summerend,Pull 10 items from the ocean.,,Deposit 5 kinds of materials into Storage,r_quietshore,Talk to Saguaro,r_vistaoutpost,The Summer Way,"Fuji's healthy and active, but asks that you help Saguaro, the Caretaker of Vista Outpost.",Talk to Saguaro,Obtain a Dowsing Rod from Coqui.,Learn building from Fuji,Deposit 5 kinds of materials into Village Storage.,Talk to Saguaro,The Summer Way,"Fuji's healthy and active, but asks that you help Saguaro, the Caretaker of Vista Outpost.",Talk to Saguaro,Obtain a Dowsing Rod from Coqui.,Learn building from Fuji,Deposit 10 materials into the Village Stores.,Talk to Saguaro,The Summer Way,"Fuji's healthy and active, but asks that you help Saguaro, the Caretaker of Vista Outpost.",Talk to Saguaro,Obtain a Dowsing Rod from Coqui.,Learn building from Fuji,Deposit 10 materials into the Village Stores.,Talk to Saguaro,The Summer Way,"Fuji's healthy and active, but asks that you help Saguaro, the Caretaker of Vista Outpost.",Talk to Saguaro,Obtain a Dowsing Rod from Coqui.,Learn building from Fuji,Deposit 10 materials into the Village Stores.,Talk to Saguaro,,,,,,,,,,,,,,,
smr_rebuild,Summer Bar,Building Bridges,0,"With a functional Workshop, the way to Lilyputt can be built. Fuji stands ready.",Talk to Fuji,r_quietshore,Achieve Maintenance Level 2 in Summer Bar,,Learn building from Fuji,r_quietshore,Repair the bridge to Lilyputt.,r_summerstart,Talk to Rio,r_summerstart,Building Bridges,"With a working the Workshop, the way to Lilyputt can be built. Fuji stands ready.",Talk to Fuji,Achieve Maintenance Level 2 in Summer Bar,Find the lost Carpenter.,Repair the bridge to Lilyputt.,Talk to Rio,Building Bridges,"With a working the Workshop, the way to Lilyputt can be built. Fuji stands ready.",Talk to Fuji,Achieve Maintenance Level 2 in Summer Bar,Find the lost Carpenter.,Repair the bridge to Lilyputt.,Talk to Rio,Building Bridges,"With a working the Workshop, the way to Lilyputt can be built. Fuji stands ready.",Talk to Fuji,Achieve Maintenance Level 2 in Summer Bar,Find the lost Carpenter.,Repair the bridge to Lilyputt.,Talk to Rio,Building Bridges,"With a working the Workshop, the way to Lilyputt can be built. Fuji stands ready.",Talk to Fuji,Achieve Maintenance Level 2 in Summer Bar,Find the lost Carpenter.,Repair the bridge to Lilyputt.,Talk to Rio,,,,,,,,,,,,,,,
smr_dngn,Summer Bar,Carpenter in Crisis,0,Woody went to the Waterlog to find materials for Lilyputt. Only Concord can retrieve them from the dungeon.,Talk to Saguaro,r_vistaoutpost,Descend 7 levels into the Waterlog.,r_waterlog_a,Find Woody in the Waterlog.,r_waterlog_a,,,Talk to Saguaro,r_vistaoutpost,Carpenter in Crisis,Carpenter went to the Waterlog to find materials for Lilyputt. Only Concord can retrieve them from the dungeon.,Talk to Saguaro,Descend 7 levels into the Waterlog.,Talk to Fuji at the Workshop.,,Talk to Saguaro,Carpenter in Crisis,Carpenter went to the Waterlog to find materials for Lilyputt. Only Concord can retrieve them from the dungeon.,Talk to Saguaro,Descend 7 levels into the Waterlog.,Talk to Fuji at the Workshop.,,Talk to Saguaro,Carpenter in Crisis,Carpenter went to the Waterlog to find materials for Lilyputt. Only Concord can retrieve them from the dungeon.,Talk to Saguaro,Descend 7 levels into the Waterlog.,Talk to Fuji at the Workshop.,,Talk to Saguaro,Carpenter in Crisis,Carpenter went to the Waterlog to find materials for Lilyputt. Only Concord can retrieve them from the dungeon.,Talk to Saguaro,Descend 7 levels into the Waterlog.,Talk to Fuji at the Workshop.,,Talk to Saguaro,,,,,,,,,,,,,,,
smr_end,Spring Hamlet,Return to Spring,0,"The Outpost is in working order, and Concord must return with Fuji to Spring Hamlet.",Return to Spring Hamlet.,r_shellcove,,,Talk to Fuji at the Workshop.,r_testroom,,,Talk to Fuji,r_grandsquare,Return to Spring,"The Outpost is in working order, and Concord must return with Fuji to Spring Hamlet.",Talk to Elderberry,,Repair the Lift.,,Talk to Fuji,Return to Spring,"The Outpost is in working order, and Concord must return with Fuji to Spring Hamlet.",Talk to Elderberry,,Repair the Lift.,,Talk to Fuji,Return to Spring,"The Outpost is in working order, and Concord must return with Fuji to Spring Hamlet.",Talk to Elderberry,,Repair the Lift.,,Talk to Fuji,Return to Spring,"The Outpost is in working order, and Concord must return with Fuji to Spring Hamlet.",Talk to Elderberry,,Repair the Lift.,,Talk to Fuji,,,,,,,,,,,,,,,
smr_to_atm,Spring Hamlet,Reclamation from Rot,0,"Perennial Plaza is cleared, and the Villagers seek ways to connect to Autumn Town.",Clear Perennial Plaza of Rot.,r_grandsquare,Return to Fuji's Workshop.,r_testroom,Repair the Lift.,r_grandsquare,Talk to Plum,r_docks,Take the Lift up to Autumn Town,r_grandsquare,Reclamation from Rot,"Perennial Plaza is cleared, and the Villagers seek ways to connect to Autumn Town.",Clear Perennial Plaza of Rot.,Return to Fuji's Workshop.,Talk to the Architect of Autumn Town.,Talk to Plum,Take the Lift up to Autumn Town,Reclamation from Rot,"Perennial Plaza is cleared, and the Villagers seek ways to connect to Autumn Town.",Clear Perennial Plaza of Rot.,Return to Fuji's Workshop.,Talk to the Architect of Autumn Town.,Talk to Plum,Take the Lift up to Autumn Town,Reclamation from Rot,"Perennial Plaza is cleared, and the Villagers seek ways to connect to Autumn Town.",Clear Perennial Plaza of Rot.,Return to Fuji's Workshop.,Talk to the Architect of Autumn Town.,Talk to Plum,Take the Lift up to Autumn Town,Reclamation from Rot,"Perennial Plaza is cleared, and the Villagers seek ways to connect to Autumn Town.",Clear Perennial Plaza of Rot.,Return to Fuji's Workshop.,Talk to the Architect of Autumn Town.,Talk to Plum,Take the Lift up to Autumn Town,,,,,,,,,,,,,,,
atm_start,Autumn Town,Autumnal Equinox,0,"The true state of Autumn Town unknown, the Hamlet remains hopeful Concord can find a way to them.",Establish Contact with Autumn Town,r_cityroad,Talk to the Trader of Autumn Town.,r_wheatfield,Talk to the Architect of Autumn Town.,r_wheatfield,,,,,Autumnal Equinox,"The true state of Autumn Town unknown, the Hamlet remains hopeful Concord can find a way to help them.",Establish Contact with Autumn Town,Talk to the Trader of Autumn Town.,Rebuild the way to Plantation Village.,,,Autumnal Equinox,"The true state of Autumn Town unknown, the Hamlet remains hopeful Concord can find a way to help them.",Establish Contact with Autumn Town,Talk to the Trader of Autumn Town.,Rebuild the way to Plantation Village.,,,Autumnal Equinox,"The true state of Autumn Town unknown, the Hamlet remains hopeful Concord can find a way to help them.",Establish Contact with Autumn Town,Talk to the Trader of Autumn Town.,Rebuild the way to Plantation Village.,,,Autumnal Equinox,"The true state of Autumn Town unknown, the Hamlet remains hopeful Concord can find a way to help them.",Establish Contact with Autumn Town,Talk to the Trader of Autumn Town.,Rebuild the way to Plantation Village.,,,,,,,,,,,,,,,,,
atm_mid_a,Autumn Town,To Plantation Village,0,"Autumn Town is clearly in dire straits, and Concord has issues even reaching Plantation Village.",Talk to Kalo.,r_wheatfield,Get a Sickle from Calabasa,r_wheatfield,Rebuild the way to Plantation Village.,r_puzzleplateau,,,Talk to Haupia of Plantation Village.,r_plantationvillage,To Plantation Village,"Autumn Town is clearly in dire straits, and Concord has issues even reaching Plantation Village.",Talk to Kalo.,,Restore waterflow to Autumn Town.,,Talk to Haupia of Plantation Village.,To Plantation Village,"Autumn Town is clearly in dire straits, and Concord has issues even reaching Plantation Village.",Talk to Kalo.,,Restore waterflow to Autumn Town.,,Talk to Haupia of Plantation Village.,To Plantation Village,"Autumn Town is clearly in dire straits, and Concord has issues even reaching Plantation Village.",Talk to Kalo.,,Restore waterflow to Autumn Town.,,Talk to Haupia of Plantation Village.,To Plantation Village,"Autumn Town is clearly in dire straits, and Concord has issues even reaching Plantation Village.",Talk to Kalo.,,Restore waterflow to Autumn Town.,,Talk to Haupia of Plantation Village.,,,,,,,,,,,,,,,
atm_mid_b,Autumn Town,The Perils of Plumbing,0,Mayor Haupia has no faith in Spring Hamlet and requires convincing.,,,Reach Level 10 of the Sewers,r_sewers_a,Restore waterflow to Autumn Town.,r_sewers_a,,,Talk to Haupia of Plantation Village.,r_plantationvillage,The Perils of Plumbing,Mayor Haupia has no faith in Spring Hamlet and requires convincing.,,Reach Level 10 of the Sewers,Clear the First Steppe of debris.,,Talk to Haupia of Plantation Village.,The Perils of Plumbing,Mayor Haupia has no faith in Spring Hamlet and requires convincing.,,Reach Level 10 of the Sewers,Clear the First Steppe of debris.,,Talk to Haupia of Plantation Village.,The Perils of Plumbing,Mayor Haupia has no faith in Spring Hamlet and requires convincing.,,Reach Level 10 of the Sewers,Clear the First Steppe of debris.,,Talk to Haupia of Plantation Village.,The Perils of Plumbing,Mayor Haupia has no faith in Spring Hamlet and requires convincing.,,Reach Level 10 of the Sewers,Clear the First Steppe of debris.,,Talk to Haupia of Plantation Village.,,,,,,,,,,,,,,,
atm_mid_c,Autumn Town,A Call To Farms,0,"With Plantation Village behind Concord, the last push to Perennial Plaza can be made.",Talk to Kabocha.,r_puzzleplateau,Achieve Forage Level 2 in Autumn Town,r_wheatfield,Clear the First Steppe of debris.,r_firststeppe,Clear the Walkabout of Rot.,r_breezywalkabout,Talk to Haupia of Plantation Village.,r_plantationvillage,A Call To Farms,"With Plantation Village behind Concord, the last push to Perennial Plaza can be made.",Talk to Kabocha.,Achieve Forage Level 2 in Autumn Town,Meet Rana at the Grove's base.,Clear the Walkabout of Rot.,Talk to Haupia of Plantation Village.,A Call To Farms,"With Plantation Village behind Concord, the last push to Perennial Plaza can be made.",Talk to Kabocha.,Achieve Forage Level 2 in Autumn Town,Meet Rana at the Grove's base.,Clear the Walkabout of Rot.,Talk to Haupia of Plantation Village.,A Call To Farms,"With Plantation Village behind Concord, the last push to Perennial Plaza can be made.",Talk to Kabocha.,Achieve Forage Level 2 in Autumn Town,Meet Rana at the Grove's base.,Clear the Walkabout of Rot.,Talk to Haupia of Plantation Village.,A Call To Farms,"With Plantation Village behind Concord, the last push to Perennial Plaza can be made.",Talk to Kabocha.,Achieve Forage Level 2 in Autumn Town,Meet Rana at the Grove's base.,Clear the Walkabout of Rot.,Talk to Haupia of Plantation Village.,,,,,,,,,,,,,,,
atm_end,Autumn Town,City Escape,0,"With the trade route secured, Concord only needs to return to Spring Hamlet.",Return to Spring Hamlet and talk to Elderberry.,r_grandsquare,Talk to Negi in the Docks,r_docks,Meet Rana at the Grove's base.,r_babblebrook,,,,,City Escape,"With the trade route secured, Concord only needs to return to Spring Hamlet.",Talk to Elderberry,Talk to Negi in the Docks,Meet Elderberry at the Kindergarden.,,,City Escape,"With the trade route secured, Concord only needs to return to Spring Hamlet.",Talk to Elderberry,Talk to Negi in the Docks,Meet Elderberry at the Kindergarden.,,,City Escape,"With the trade route secured, Concord only needs to return to Spring Hamlet.",Talk to Elderberry,Talk to Negi in the Docks,Meet Elderberry at the Kindergarden.,,,City Escape,"With the trade route secured, Concord only needs to return to Spring Hamlet.",Talk to Elderberry,Talk to Negi in the Docks,Meet Elderberry at the Kindergarden.,,,,,,,,,,,,,,,,,
atm_to_wtr,Spring Hamlet,Eastward Bound,0,"As the Hamlet grows, so does its enemies. Elderberry requests the aid of Winter Thicket.",,,,,Meet Elderberry at the Kindergarden.,r_kindergarden,,,Meet Terong to enter Winter Glade.,r_bellrow,Eastward Bound,"As the Hamlet grows, so does its enemies. Elderberry requests the aid of Winter Thicket.",,,Bring Plum back from the Mists.,,Meet Terong in Bell Row once you're ready.,Eastward Bound,"As the Hamlet grows, so does its enemies. Elderberry requests the aid of Winter Thicket.",,,Bring Plum back from the Mists.,,Meet Terong in Bell Row once you're ready.,Eastward Bound,"As the Hamlet grows, so does its enemies. Elderberry requests the aid of Winter Thicket.",,,Bring Plum back from the Mists.,,Meet Terong in Bell Row once you're ready.,Eastward Bound,"As the Hamlet grows, so does its enemies. Elderberry requests the aid of Winter Thicket.",,,Bring Plum back from the Mists.,,Meet Terong in Bell Row once you're ready.,,,,,,,,,,,,,,,
wtr_start,Winter Thicket,To Frigid Forests,0,"A letter of summons has found its way to Concord, directing them toward the reclusive Winter Glade.",Make your way East of the Forest.,r_winterglade,,,Bring Plum back from the Mists.,r_themists,,,,,To Frigid Forests,"A letter of summons has found its way to Concord, directing them toward the reclusive Winter Glade.",Make your way East of the Forest.,,Clear the Rot from the Mists' Epitaphs.,,,To Frigid Forests,"A strange letter has found its way to Concord, directing them toward the reclusive Winter Glade.",Make your way East of the Forest.,,Clear the Rot from the Mists' Epitaphs.,,,To Frigid Forests,"A strange letter has found its way to Concord, directing them toward the reclusive Winter Glade.",Make your way East of the Forest.,,Clear the Rot from the Mists' Epitaphs.,,,To Frigid Forests,"A strange letter has found its way to Concord, directing them toward the reclusive Winter Glade.",Make your way East of the Forest.,,Clear the Rot from the Mists' Epitaphs.,,,,,,,,,,,,,,,,,
wtr_mid_a,Winter Thicket,The Deep White,0,"Unable to explore the Mists, Plum is disheartened from their failure.",Talk to Plum.,r_winterglade,,,Clear the Rot from the Mists' Epitaphs.,r_themists,,,Talk to Ledidi,r_brokenblockade,The Deep White,"Unable to explore the Mists, Plum is disheartened from their failure.",Talk to Plum.,Talk to Ledidi,Find Mandy within the depths of the Mists.,,Talk to Ledidi,The Deep White,"Unable to explore the Mists, Plum is disheartened from their failure.",Talk to Plum.,Talk to Ledidi,Find Mandy within the depths of the Mists.,,Talk to Ledidi,The Deep White,"Unable to explore the Mists, Plum is disheartened from their failure.",Talk to Plum.,Talk to Ledidi,Find Mandy within the depths of the Mists.,,Talk to Ledidi,The Deep White,"Unable to explore the Mists, Plum is disheartened from their failure.",Talk to Plum.,Talk to Ledidi,Find Mandy within the depths of the Mists.,,Talk to Ledidi,,,,,,,,,,,,,,,
wtr_mid_b,Winter Thicket,House of the Sun,0,"Having acknowledged their progress, Ledidi bequeaths Plum's quest to Concord.",,,,,Find Mandy within the depths of the Mists.,r_themists,,,Talk to Plum.,r_winterglade,House of the Sun,"Having acknowledged their progress, Plum bequeaths an old debt to Concord.",Talk to Plum.,,,,Talk to Ledidi,House of the Sun,"Having acknowledged their progress, Plum bequeaths an old debt to Concord.",Talk to Plum.,,,,Talk to Ledidi,House of the Sun,"Having acknowledged their progress, Plum bequeaths an old debt to Concord.",Talk to Plum.,,,,Talk to Ledidi,House of the Sun,"Having acknowledged their progress, Plum bequeaths an old debt to Concord.",Talk to Plum.,,,,Talk to Ledidi,,,,,,,,,,,,,,,
wtr_mid_c,Winter Thicket,Outward and Upward,0,"Winter Glade stirring with new developments, Concord must consider the way forward.",Talk to Ledidi.,r_brokenblockade,,,,,,,,,Outward and Upward,"Winter Glad stirring with new developments, Concord must consider the way forward.",Talk to Plum.,,Retrieve a shard from the Waterlog.,,Talk to Ledidi,Outward and Upward,"Winter Glad stirring with new developments, Concord must consider the way forward.",Talk to Plum.,,Retrieve a shard from the Waterlog.,,Talk to Ledidi,Outward and Upward,"Winter Glad stirring with new developments, Concord must consider the way forward.",Talk to Plum.,,Retrieve a shard from the Waterlog.,,Talk to Ledidi,Outward and Upward,"Winter Glad stirring with new developments, Concord must consider the way forward.",Talk to Plum.,,Retrieve a shard from the Waterlog.,,Talk to Ledidi,,,,,,,,,,,,,,,
